"app_id","ssn","zip_code","income","homeownership","purchases","credit_limit"
102227,123817237,49020,47000,"Rent",3097.15720038699,3100
109792,589049197,61116,71000,"Own",13689.5668041389,24300
110171,322099062,77562,38000,"Rent",6774.73020575145,15200
113087,848114225,15985,68000,"Rent",8895.21432707288,25200
116110,946986483,73654,58000,"Own",12339.389401516,35900
117545,732362644,27254,57000,"Rent",6178.67998769877,30100
117842,857967307,62324,67000,"Rent",1318.85006525362,9800
118829,940510013,90482,67000,"Rent",2548.66239995078,28600
119386,457562709,67996,58000,"Own",11401.5327870578,34000
120053,705107138,97818,55000,"Rent",4684.55127565209,10000
120276,545728946,19399,59000,"Own",7799.63684647849,7800
121939,124754707,35896,96000,"Rent",14652.3873237505,29500
126283,496846761,48909,32000,"Rent",2575.303267949,10600
132283,543215991,46467,97000,"Rent",3781.49556091288,10800
133427,713185502,37460,18000,"Rent",7916.8567768617,9000
134422,734479434,75693,97000,"Rent",1018.25097764268,17700
136327,837057220,63541,44000,"Rent",5218.94829870715,11900
139135,491851886,40136,98000,"Own",20050.4669517411,22500
140215,432231343,63840,37000,"Own",22017.134635137,34800
142273,982218235,96590,49000,"Rent",12701.6447545371,27800
145239,104544183,75322,47000,"Rent",6502.22955213307,7800
149462,235578496,86470,52000,"Rent",7056.94127437209,17000
151731,153921830,62497,61000,"Rent",4481.52328550076,16300
151806,774758899,85450,62000,"Rent",1660.06474044609,16600
153365,395605094,15887,68000,"Rent",3210.08035362636,23200
153678,270398081,24754,53000,"Own",5827.86631368421,9600
155556,817611356,60388,81000,"Rent",1373.97247717524,20900
157866,985669405,22613,72000,"Rent",15143.8789731224,15400
158443,794227361,97379,68000,"Rent",1450.53575729002,12200
159094,264338738,71130,25000,"Rent",3897.76375221351,15000
163178,281017108,30556,51000,"Rent",3371.73765574896,26000
163444,736764150,25114,116000,"Rent",24477.7037753076,27600
164282,385055589,91705,104000,"Rent",1833.91996067386,13200
165464,138129284,56972,39000,"Rent",11335.8554639228,32600
165670,651503682,70342,6000,"Rent",22490.734182221,22900
166285,482201101,72046,99000,"Rent",23883.4177056926,24200
166563,595790735,42071,79000,"Rent",3467.03047197561,3500
167031,543586781,97208,84000,"Rent",5407.01267391062,12000
167972,488281104,11381,58000,"Rent",5948.03525853505,25800
168022,779924986,11747,83000,"Rent",4779.96919074166,25700
171603,958708173,70605,85000,"Own",18272.150765471,37600
172792,591869461,81006,58000,"Rent",20387.3870068263,26900
173095,492308897,46279,55000,"Rent",8322.28720157053,24800
174813,597957990,28046,51000,"Rent",2480.50134108801,14500
176300,848808059,90005,99000,"Rent",7251.36526808828,7300
178377,328110977,59277,20000,"Rent",20953.7749991469,21000
179921,556868047,37599,40000,"Own",36519.1758475426,38100
181115,910318529,25025,61000,"Rent",12293.6556288462,25700
181645,864791634,81968,79000,"Rent",4759.19386030876,31100
182723,455506598,76800,52000,"Own",13772.8378944129,14600
185848,440315793,15528,58000,"Own",20806.7542444953,23800
185938,586550113,90728,38000,"Rent",4626.67666538755,15800
185961,749936600,35321,66000,"Rent",2702.04569035894,35000
188262,940184101,77041,81000,"Rent",27482.1851618433,34000
189060,147798458,98506,72000,"Rent",3734.34787262249,12700
189905,539726746,26332,24000,"Rent",12726.0370982216,13500
197677,356611737,65485,49000,"Rent",21824.2315913231,26900
201588,330081650,92168,41000,"Own",14778.1631105472,27100
206579,168468869,79672,101000,"Own",1399.9991028696,1400
210592,295618786,10984,65000,"Rent",3724.22408609703,12900
211357,918288065,49420,71000,"Rent",1560.50688536099,9800
212151,799486364,54406,51000,"Rent",2604.97376468451,34000
214099,671006534,34434,56000,"Own",14661.9354764873,38900
215339,782423804,24571,76000,"Rent",399.99972590045,400
216096,950533453,88621,34000,"Own",23354.4073372384,23600
217480,194169849,58214,69000,"Own",13825.9481539866,19400
218938,608720800,43244,40000,"Rent",3099.52438835158,3100
220146,314552136,34813,55000,"Own",13142.2658565736,39100
220407,457568822,72844,37000,"Own",10714.3905638099,18300
220814,799754488,58833,57000,"Rent",21387.5231347702,21900
221236,853191189,12811,85000,"Own",9629.05811793763,12500
224876,918671490,91597,57000,"Rent",4180.19384996751,39400
225681,459966429,85616,62000,"Rent",7834.48491155456,13000
227506,916776597,87510,83000,"Rent",19449.3329668015,32000
228634,492756648,81178,73000,"Rent",1763.03993111681,36100
231429,406906006,15816,43000,"Rent",3253.8776894682,28800
232455,315709039,17672,93000,"Rent",13878.689458808,24900
235200,708091137,84845,44000,"Rent",11152.8203148436,20700
235687,469687184,33973,41000,"Own",26076.507334674,34800
235761,277619259,91897,75000,"Rent",4655.99885003597,38800
236742,396468403,52688,80000,"Rent",3000.49394111364,22900
237430,223636737,92219,50000,"Rent",8354.87525406939,18200
239557,912810753,65160,49000,"Rent",7224.62489945479,40100
240499,748353723,16573,52000,"Own",12576.6524839963,33800
241875,438051638,94375,0,"Rent",12025.9816364052,19900
243193,700317654,23130,48000,"Own",7039.28353248642,11700
245593,561019163,90381,107000,"Own",8799.68885907539,8800
247301,999092731,42294,105000,"Rent",8681.19937209521,23400
247487,337413604,64505,74000,"Rent",4798.89838579986,39100
251521,910100943,49851,63000,"Rent",17422.2071683339,37100
253856,598311629,26440,23000,"Rent",5761.72236520496,13000
257530,336244308,34935,41000,"Rent",5720.37561135618,37100
257794,171405300,59753,29000,"Rent",10745.311777265,10800
258841,909651685,89058,36000,"Own",12273.825091684,12300
259276,521637393,46154,1e+05,"Rent",1664.29976608952,19800
260967,334807615,40081,14000,"Own",299.99999952916,300
266820,195549825,59067,50000,"Rent",2473.534060168,15400
